"","OrigSeqsF","post1stFilter","PercKept1stFilter","post2ndFilter","PercKept2ndFilter","denoisedF","denoisedR","PercKeptDenoise","Merged","PercKeptMerge","postChimera","PercKeptChimera"
"B1-0",8202,8198,99.95,7439,90.74,7386,7410,99.29,7264,98.35,7264,100
"B1-H",9086,9081,99.94,8143,89.67,8074,8056,99.15,7633,94.54,7633,100
"B1-L",15421,15403,99.88,13882,90.13,13835,13687,99.66,12815,92.63,12757,99.55
"B1-M",8788,8785,99.97,6957,79.19,6933,6593,99.66,5949,85.81,5949,100
"B2-0",5665,5660,99.91,5159,91.15,5124,5107,99.32,5014,97.85,5014,100
"B2-H",3588,3579,99.75,3206,89.58,3181,3157,99.22,3038,95.5,3038,100
"B2-L",3552,3543,99.75,3142,88.68,3101,3092,98.7,3009,97.03,3009,100
"B2-M",10517,10492,99.76,9081,86.55,9036,9028,99.5,8749,96.82,8624,98.57
"B3-0",8461,8458,99.96,7829,92.56,7779,7786,99.36,7307,93.93,7285,99.7
"B3-H",5392,5384,99.85,4949,91.92,4879,4899,98.59,4484,91.9,4484,100
"B3-L",4604,4597,99.85,4247,92.39,4212,4062,99.18,3727,88.49,3727,100
"B3-M",12544,12519,99.8,11547,92.24,11504,11516,99.63,10128,88.04,10089,99.61
"C1-0",15688,15685,99.98,14652,93.41,14530,14454,99.17,11525,79.32,11525,100
"C1-H",4782,4782,100,4502,94.14,4386,4434,97.42,3929,89.58,3929,100
"C1-L",14941,14940,99.99,14056,94.08,13929,13868,99.1,11285,81.02,11285,100
"C1-M",7320,7318,99.97,6845,93.54,6760,6744,98.76,5761,85.22,5761,100
"C2-0",9817,9813,99.96,8720,88.86,8668,8644,99.4,7657,88.34,7657,100
"C2-H",13213,13205,99.94,11843,89.69,11782,11779,99.48,10465,88.82,10465,100
"C2-L",14544,14534,99.93,13031,89.66,12961,12576,99.46,11450,88.34,11450,100
"C2-M",12755,12745,99.92,11461,89.93,11401,11319,99.48,10019,87.88,10019,100
"C3-0",12485,12482,99.98,11882,95.19,11689,11695,98.38,10076,86.2,10076,100
"C3-H",20004,19992,99.94,19067,95.37,18949,18844,99.38,16016,84.52,16016,100
"C3-L",14567,14564,99.98,13852,95.11,13759,13752,99.33,11864,86.23,11864,100
"C3-M",13209,13207,99.98,12614,95.51,12513,12485,99.2,10807,86.37,10807,100
"D1-0",15938,15936,99.99,12941,81.21,12772,12625,98.69,11902,93.19,11902,100
"D2-0",16546,16543,99.98,13730,83,13552,13539,98.7,12166,89.77,12166,100
"PCRneg-1",456,450,98.68,419,93.11,404,376,96.42,243,60.15,243,100
"W1-0",6824,6824,100,5985,87.71,5918,5901,98.88,5816,98.28,5816,100
"W1-H",9983,9981,99.98,8758,87.75,8693,8684,99.26,8469,97.42,8469,100
"W1-L",18081,18079,99.99,15798,87.38,15720,15635,99.51,14944,95.06,14944,100
"W1-M",10004,10002,99.98,8696,86.94,8644,8565,99.4,8312,96.16,8312,100
"W2-0",9135,9130,99.95,7651,83.8,7615,7576,99.53,7342,96.41,7342,100
"W2-H",13795,13755,99.71,11453,83.26,11377,11379,99.34,10923,96.01,10923,100
"W2-L",6798,6789,99.87,5600,82.49,5564,5557,99.36,5427,97.54,5427,100
"W2-M",13358,13324,99.75,10929,82.02,10884,10847,99.59,10376,95.33,10376,100
"W3-0",10470,10470,100,8389,80.12,8308,8308,99.03,8249,99.29,8249,100
"W3-H",9070,9068,99.98,7048,77.72,7000,6987,99.32,6789,96.99,6789,100
"W3-L",17243,17239,99.98,13646,79.16,13567,13534,99.42,12802,94.36,12802,100
"W3-M",9917,9914,99.97,7905,79.74,7845,7803,99.24,7495,95.54,7495,100
