"","k.conf","p.conf","c.conf","o.conf","f.conf","g.conf","s.conf"
"ASV1",100,100,100,100,100,100,NA
"ASV2",100,82.3246198927524,82.3246198927524,82.3246198927524,82.3246198927524,82.3246198927524,82.3246198927524
"ASV3",100,100,98.9688123507209,93.4455963720243,89.5982499860146,73.6172547684597,73.6172547684597
"ASV4",100,100,100,100,100,100,80.0027041976005
"ASV5",93.4573499479089,93.4573499479089,93.4573499479089,93.4573499479089,81.4884677075487,81.4884677075487,81.4884677075487
"ASV6",98.525000835068,98.525000835068,98.525000835068,98.525000835068,94.7190015028894,94.7190015028894,94.7190015028894
"ASV7",100,100,97.740901280387,97.740901280387,80.7042180456883,80.7042180456883,NA
"ASV8",82.3819243259087,82.3819243259087,82.3819243259087,82.3819243259087,82.3819243259087,82.3819243259087,82.3819243259087
"ASV9",100,100,100,100,100,100,100
"ASV10",100,100,100,100,98.0371109094197,97.1225385480046,97.1225385480046
"ASV11",100,91.0585264712312,90.3269954299257,90.3269954299257,90.3269954299257,NA,NA
"ASV12",100,100,NA,NA,NA,NA,NA
"ASV13",97.107360058425,91.5464984138728,87.5686496691004,87.5686496691004,87.5686496691004,87.5686496691004,87.5686496691004
"ASV14",92.8456087247521,92.8456087247521,92.8456087247521,92.8456087247521,92.8456087247521,92.8456087247521,92.8456087247521
"ASV15",100,100,100,100,100,97.8778658031756,82.1615684547429
"ASV16",99.647448554949,99.647448554949,99.647448554949,99.647448554949,99.647448554949,94.217901184443,94.217901184443
"ASV17",83.1573182804324,83.1573182804324,83.1573182804324,83.1573182804324,78.323309627629,78.323309627629,78.323309627629
"ASV18",93.8345731344266,93.8345731344266,89.9769234221232,89.9769234221232,89.9769234221232,89.9769234221232,89.9769234221232
"ASV19",96.6156803895678,96.6156803895678,96.6156803895678,95.5936771382455,95.5936771382455,NA,NA
"ASV20",98.9319677823656,98.9319677823656,97.1386728818265,96.0075367880986,96.0075367880986,96.0075367880986,NA
"ASV21",29.7141643652986,NA,NA,NA,NA,NA,NA
"ASV22",100,79.2752192792761,79.2752192792761,NA,NA,NA,NA
"ASV23",100,100,100,100,95.2641642769422,95.2641642769422,95.2641642769422
"ASV24",29.1787804958578,NA,NA,NA,NA,NA,NA
"ASV25",55.7547540702518,NA,NA,NA,NA,NA,NA
"ASV26",97.6519196295014,97.6519196295014,97.6519196295014,97.6519196295014,97.6519196295014,97.6519196295014,75.1096271367655
"ASV27",88.5929934357664,88.5929934357664,88.5929934357664,87.6198440367225,87.6198440367225,75.4001176796999,75.4001176796999
"ASV28",100,100,100,100,100,100,100
"ASV29",94.0340042733967,94.0340042733967,94.0340042733967,94.0340042733967,94.0340042733967,94.0340042733967,90.3198890853551
"ASV30",97.6990332607152,97.6990332607152,97.6990332607152,97.6990332607152,97.6990332607152,97.6990332607152,97.6990332607152
"ASV31",100,100,100,100,100,94.7870887912434,94.7870887912434
"ASV32",90.6439586285175,90.6439586285175,90.6439586285175,90.6439586285175,90.6439586285175,90.6439586285175,90.6439586285175
"ASV33",98.0600202206727,98.0600202206727,98.0600202206727,98.0600202206727,98.0600202206727,98.0600202206727,78.6954288964822
"ASV34",96.9527763535309,96.9527763535309,96.9527763535309,96.1606003922537,79.4260421051834,79.4260421051834,79.4260421051834
"ASV35",92.7491154647652,91.767922060886,91.767922060886,91.767922060886,NA,NA,NA
"ASV36",87.6711324677163,87.6711324677163,87.6711324677163,87.6711324677163,87.6711324677163,78.74824958824,78.74824958824
"ASV37",97.9403220661073,97.9403220661073,97.9403220661073,97.9403220661073,97.9403220661073,97.9403220661073,72.3033391001798
"ASV38",97.8245171635009,97.8245171635009,97.8245171635009,97.8245171635009,97.8245171635009,97.8245171635009,80.1480017115685
"ASV39",89.4469896073845,82.6213003920359,82.6213003920359,82.6213003920359,80.7144212115782,80.7144212115782,NA
"ASV40",98.5287901958018,98.5287901958018,98.5287901958018,98.5287901958018,98.5287901958018,98.5287901958018,98.5287901958018
"ASV41",94.2666383265486,94.2666383265486,88.2246043895503,88.2246043895503,88.2246043895503,88.2246043895503,NA
"ASV42",100,100,75.0914618380293,75.0914618380293,75.0914618380293,75.0914618380293,NA
"ASV43",100,100,100,100,100,100,91.0929540688134
"ASV44",99.9463186620799,99.9463186620799,99.9463186620799,99.9463186620799,99.9463186620799,88.3254127977847,88.3254127977847
"ASV45",92.7547189871731,92.7547189871731,92.7547189871731,92.7547189871731,92.7547189871731,92.7547189871731,91.6105057215948
"ASV46",93.7675820907434,84.0334339333383,84.0334339333383,84.0334339333383,84.0334339333383,81.9974638613333,81.9974638613333
"ASV47",100,94.8036086291853,94.8036086291853,94.8036086291853,94.8036086291853,94.8036086291853,94.8036086291853
"ASV48",99.2776543296935,99.2776543296935,99.2776543296935,99.2776543296935,96.7394017438263,94.9008484504931,72.2455653143036
"ASV49",90.7238057087616,90.7238057087616,90.7238057087616,90.7238057087616,84.2133660068247,84.2133660068247,84.2133660068247
"ASV50",35.2429083338921,NA,NA,NA,NA,NA,NA
"ASV51",88.3139600666388,88.3139600666388,88.3139600666388,88.3139600666388,88.3139600666388,NA,NA
"ASV52",99.906438192931,99.906438192931,99.906438192931,99.906438192931,97.7555304228062,97.7555304228062,72.2638316876415
"ASV53",99.2702094739727,99.2702094739727,99.2702094739727,99.2702094739727,99.2702094739727,91.1275149972339,91.1275149972339
"ASV54",97.5007318279307,97.5007318279307,97.5007318279307,97.5007318279307,97.5007318279307,97.5007318279307,73.7543990319227
"ASV55",80.0299820422482,80.0299820422482,80.0299820422482,80.0299820422482,80.0299820422482,80.0299820422482,80.0299820422482
"ASV56",90.8082072662308,90.8082072662308,90.8082072662308,90.8082072662308,90.8082072662308,90.8082072662308,86.8951988148205
"ASV57",94.8674379116406,94.8674379116406,94.8674379116406,94.8674379116406,94.8674379116406,94.8674379116406,91.8470247707978
